year,artist,track,time,genre,week,rank
2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),04:22:00,Rap,x1st_week,87
2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),04:22:00,Rap,x2nd_week,82
2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),04:22:00,Rap,x3rd_week,72
2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),04:22:00,Rap,x4th_week,77
2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),04:22:00,Rap,x5th_week,87
2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),04:22:00,Rap,x6th_week,94
2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),04:22:00,Rap,x7th_week,99
2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),03:15:00,R&B,x1st_week,91
2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),03:15:00,R&B,x2nd_week,87
2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),03:15:00,R&B,x3rd_week,92
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x10th_week,51
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x11th_week,51
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x12th_week,51
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x13th_week,47
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x14th_week,44
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x15th_week,38
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x16th_week,28
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x17th_week,22
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x18th_week,18
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x19th_week,18
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x1st_week,81
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x20th_week,14
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x21st_week,12
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x22nd_week,7
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x23rd_week,6
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x24th_week,6
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x25th_week,6
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x26th_week,5
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x27th_week,5
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x28th_week,4
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x29th_week,4
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x2nd_week,70
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x30th_week,4
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x31st_week,4
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x32nd_week,3
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x33rd_week,3
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x34th_week,3
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x35th_week,4
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x36th_week,5
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x37th_week,5
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x38th_week,9
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x39th_week,9
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x3rd_week,68
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x40th_week,15
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x41st_week,14
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x42nd_week,13
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x43rd_week,14
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x44th_week,16
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x45th_week,17
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x46th_week,21
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x47th_week,22
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x48th_week,24
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x49th_week,28
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x4th_week,67
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x50th_week,33
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x51st_week,42
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x52nd_week,42
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x53rd_week,49
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x5th_week,66
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x6th_week,57
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x7th_week,54
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x8th_week,53
2000,3 Doors Down,Kryptonite,03:53:00,Rock,x9th_week,51
2000,3 Doors Down,Loser,04:24:00,Rock,x10th_week,61
2000,3 Doors Down,Loser,04:24:00,Rock,x11th_week,61
2000,3 Doors Down,Loser,04:24:00,Rock,x12th_week,59
2000,3 Doors Down,Loser,04:24:00,Rock,x13th_week,61
2000,3 Doors Down,Loser,04:24:00,Rock,x14th_week,66
2000,3 Doors Down,Loser,04:24:00,Rock,x15th_week,72
