job_#,doc_#,borough,initial_cost,total_est_fee,existing_zoning_sqft,proposed_zoning_sqft,enlargement_sq_footage,street_frontage,existingno._of_stories,proposed_no._of_stories,existing_height,proposed_height
121577873,02,MANHATTAN,75000,986,0,0,0,0,0,0,0,0
520129502,01,STATEN ISLAND,0,1144,0,0,0,143,0,0,0,0
121601560,01,MANHATTAN,30000,522.5,0,0,0,0,5,5,54,54
121601203,01,MANHATTAN,1500,225,0,0,0,0,12,12,120,120
121601338,01,MANHATTAN,19500,389.5,0,0,0,0,6,6,64,64
121589753,01,MANHATTAN,3062400,31762.4,0,0,0,0,102,102,1250,1250
320738001,01,BROOKLYN,10000,316.5,0,0,0,0,3,3,36,36
121601374,01,MANHATTAN,146800,1727.6,0,0,0,0,27,27,300,300
121583054,01,MANHATTAN,0,160,0,0,0,0,34,34,398,398
121601392,01,MANHATTAN,5000,265,0,0,0,0,1,1,16,16
121601169,01,MANHATTAN,21200,440.1,0,0,0,0,6,6,60,60
420828206,01,QUEENS,20000,419.5,0,0,0,0,3,3,28,28
420828493,01,QUEENS,37600,764.9,0,0,0,0,1,1,15,15
440075142,01,QUEENS,10000,316.5,0,0,0,0,1,1,12,12
420836723,01,QUEENS,3000,280,14683,4791,0,0,1,1,15,15
121584525,01,MANHATTAN,0,472,0,0,0,30,4,0,45,0
121600311,01,MANHATTAN,94000,1181.7,0,0,0,0,6,6,75,75
320744290,01,BROOKLYN,5000,265,0,0,0,0,4,4,52,52
320744557,01,BROOKLYN,7500,295.9,0,0,0,0,1,1,24,24
320744370,01,BROOKLYN,20000,207.25,0,0,0,0,2,2,25,25
220286232,01,BRONX,1000,225,0,0,0,0,11,11,101,101
121599779,01,MANHATTAN,0,160,0,0,0,0,40,40,520,520
420837401,01,QUEENS,67000,1063.6,0,0,0,0,2,2,26,26
220286287,01,BRONX,70000,934.5,0,0,0,0,3,3,60,60
240024362,01,BRONX,0,440,0,0,0,0,18,18,180,180
320744316,01,BROOKLYN,11000,326.8,0,0,0,0,3,3,33,33
121601249,03,MANHATTAN,16000,378.3,0,0,0,0,0,0,0,0
121592605,01,MANHATTAN,41000,635.8,0,0,0,0,43,43,546,546
121577873,01,MANHATTAN,509500,5466.5,0,0,0,0,20,20,200,200
520129496,01,STATEN ISLAND,12238,347.4,0,0,0,0,1,1,15,15
121562996,01,MANHATTAN,3500,245,0,0,0,0,33,33,360,360
320744307,01,BROOKLYN,5000,265,0,0,0,0,4,4,45,45
420805597,02,QUEENS,0,157,0,0,0,0,0,0,0,0
121601249,01,MANHATTAN,30000,522.5,0,0,0,0,39,39,432,432
121592632,01,MANHATTAN,10000,316.5,0,0,0,0,41,41,432,432
220286205,01,BRONX,344584,3767,0,0,0,0,6,6,59,59
121481770,01,MANHATTAN,9000,306.2,0,0,0,0,12,12,150,150
121601533,01,MANHATTAN,130000,1552.5,0,0,0,0,15,15,180,180
220286330,01,BRONX,15000,368,0,0,0,0,2,2,30,30
140073453,01,MANHATTAN,0,180,0,0,0,0,6,6,60,60
220283057,01,BRONX,120000,1664.5,3375,3375,0,0,3,3,35,35
520129389,01,STATEN ISLAND,0,539.44,0,1921,0,0,0,3,0,25
402890403,04,QUEENS,19320,419.5,0,0,0,0,0,0,0,0
520129398,01,STATEN ISLAND,0,576.04,0,2094,0,0,0,3,0,25
121600339,01,MANHATTAN,30000,522.5,0,0,0,0,6,6,75,75
121600320,01,MANHATTAN,25000,471,0,0,0,0,6,6,75,75
240024344,01,BRONX,0,240,0,0,0,0,13,13,130,130
121601347,01,MANHATTAN,10000,476.5,0,0,0,0,5,5,60,60
121600231,01,MANHATTAN,0,160,0,0,0,0,20,20,210,210
220210536,01,BRONX,40625,315.4,0,0,0,0,3,3,26,26
520133338,01,STATEN ISLAND,16108,191.8,0,0,0,0,2,2,24,24
520129352,01,STATEN ISLAND,0,621.04,0,2372,0,0,0,3,0,25
240024415,01,BRONX,0,230,0,0,0,0,6,6,60,60
140073523,01,MANHATTAN,0,170,0,0,0,0,4,4,56,56
121600767,01,MANHATTAN,85000,1089,0,0,0,0,15,15,115,115
121600446,01,MANHATTAN,10000,316.5,0,0,0,0,28,28,342,342
121601221,01,MANHATTAN,24000,460.7,0,0,0,0,39,39,432,432
140073417,01,MANHATTAN,0,180,0,0,0,0,7,7,96,96
121601356,01,MANHATTAN,10000,476.5,0,0,0,0,5,5,60,60
420828983,01,QUEENS,0,160,0,0,0,0,1,1,28,28
121601365,01,MANHATTAN,5000,265,0,0,0,0,5,5,53,53
320744469,01,BROOKLYN,24278,631,0,0,0,0,3,3,35,35
320517525,01,BROOKLYN,600000,6448.5,4842,4842,0,0,3,3,40,40
220286189,01,BRONX,321520,3530.1,0,0,0,0,5,5,53,53
121577873,03,MANHATTAN,136000,1614.3,0,0,0,0,0,0,0,0
121598280,03,MANHATTAN,15000,368,0,0,0,0,0,0,0,0
520133329,01,STATEN ISLAND,32940,274.2,0,0,0,0,2,2,21,21
121601524,01,MANHATTAN,13200,357.7,0,0,0,0,6,6,62,62
140073541,01,MANHATTAN,0,240,0,0,0,0,14,14,113,113
240024406,01,BRONX,7500,295.9,0,0,0,0,6,6,65,65
220286250,01,BRONX,0,210,0,0,0,0,6,6,65,65
220286214,01,BRONX,160000,1861.5,0,0,0,0,16,16,237,237
520129012,01,STATEN ISLAND,0,260,0,1,0,0,0,1,0,12
520129370,01,STATEN ISLAND,0,458.56,0,1640,0,0,0,3,0,25
520129325,01,STATEN ISLAND,0,587.68,0,2165,0,0,0,3,0,25
220286312,01,BRONX,85000,1089,0,0,0,0,1,1,16,16
440075482,01,QUEENS,37800,604.9,0,0,0,0,2,2,20,20
121603470,01,MANHATTAN,0,200,0,0,0,0,0,0,0,0
121601196,01,MANHATTAN,6900,140.3,0,0,0,0,5,5,60,60
121601249,02,MANHATTAN,175000,2016,0,0,0,0,0,0,0,0
121601418,01,MANHATTAN,3000,225,0,0,0,0,4,4,44,44
121601061,01,MANHATTAN,19695,419.5,0,0,0,0,42,42,478,478
121598299,01,MANHATTAN,17500,398.9,0,0,0,0,6,6,97,97
121598306,01,MANHATTAN,42300,656.4,0,0,0,0,6,6,97,97
121598280,02,MANHATTAN,290000,3200.5,0,0,0,0,0,0,0,0
121600678,02,MANHATTAN,360000,3921.5,0,0,0,0,0,0,0,0
320743978,01,BROOKLYN,23920,460.7,0,0,0,0,3,3,30,30
140073266,01,MANHATTAN,12200,347.4,0,0,0,0,5,5,50,50
320749650,01,BROOKLYN,212300,3029.2,2466,4160,2180,0,2,4,27,50
320726880,02,BROOKLYN,0,0,0,0,0,0,0,0,0,0
121601472,01,MANHATTAN,50000,728.5,0,0,0,0,7,7,70,70
440075240,01,QUEENS,5000,265,0,0,0,0,1,1,16,16
520129414,01,STATEN ISLAND,0,726.64,0,3060,0,0,0,3,0,25
520129343,01,STATEN ISLAND,0,548.92,0,1943,0,0,0,3,0,25
440075491,01,QUEENS,0,230,0,0,0,0,16,16,160,160
121600954,01,MANHATTAN,594000,6386.7,291894,291894,0,0,20,20,175,175
320725499,01,BROOKLYN,0,160,0,0,0,0,2,2,40,40
121601025,01,MANHATTAN,3000,130,0,0,0,0,5,5,62,62
320743610,01,BROOKLYN,13250,327.7,0,0,0,0,5,5,55,55
121600847,01,MANHATTAN,33750,563.7,0,0,0,0,7,7,65,65
320743898,01,BROOKLYN,173050,1000.35,0,0,0,0,3,3,29,29
121597192,01,MANHATTAN,17000,388.6,0,0,0,0,12,12,165,165
420828215,01,QUEENS,50000,586.59,1800,2200,207,0,2,2,29,29
220286269,01,BRONX,47900,762.9,52889,52889,0,0,6,6,66,66
320736628,01,BROOKLYN,30000,522.5,0,0,0,0,2,2,22,22
320740105,01,BROOKLYN,49500,950.64,2778,3017,239,0,2,2,24,24
121603782,01,MANHATTAN,55700,790.3,0,0,0,0,51,51,662,662
320517507,01,BROOKLYN,600000,6448.5,4356,4356,0,0,3,3,41,41
140073355,01,MANHATTAN,90000,1140.5,0,0,0,0,17,17,200,200
