,country,year,life_expectancy
1,Afghanistan,1800,28.21
4,Albania,1800,35.4
5,Algeria,1800,28.82
8,Angola,1800,26.98
10,Antigua and Barbuda,1800,33.54
11,Argentina,1800,33.2
12,Armenia,1800,34.0
13,Aruba,1800,34.42
14,Australia,1800,34.05
15,Austria,1800,34.4
16,Azerbaijan,1800,29.17
17,Bahamas,1800,35.18
18,Bahrain,1800,30.3
19,Bangladesh,1800,25.5
20,Barbados,1800,32.12
21,Belarus,1800,36.2
22,Belgium,1800,40.0
23,Belize,1800,26.5
24,Benin,1800,31.0
26,Bhutan,1800,28.8
27,Bolivia,1800,33.0
28,Bosnia and Herzegovina,1800,35.1
29,Botswana,1800,33.6
30,Brazil,1800,32.0
32,Brunei,1800,29.2
33,Bulgaria,1800,35.8
34,Burkina Faso,1800,29.2
35,Burundi,1800,31.5
36,Cambodia,1800,35.0
37,Cameroon,1800,28.75
38,Canada,1800,39.0
39,Cape Verde,1800,33.8
41,Central African Republic,1800,30.0
42,Chad,1800,30.9
44,Chile,1800,32.0
45,China,1800,32.0
48,Colombia,1800,32.0
49,Comoros,1800,32.1
50,"Congo, Dem. Rep.",1800,31.6
51,"Congo, Rep.",1800,32.7
53,Costa Rica,1800,30.21
54,Cote d'Ivoire,1800,31.16
55,Croatia,1800,36.1
56,Cuba,1800,32.2
57,Cyprus,1800,38.5
58,Czech Republic,1800,34.95
60,Denmark,1800,37.41
61,Djibouti,1800,29.9
63,Dominican Republic,1800,29.9
65,Ecuador,1800,32.9
66,Egypt,1800,33.0
67,El Salvador,1800,28.7
68,Equatorial Guinea,1800,29.8
69,Eritrea,1800,30.2
71,Estonia,1800,36.14
72,Ethiopia,1800,29.7
75,Fiji,1800,26.1
76,Finland,1800,36.57
77,France,1800,33.97
78,French Guiana,1800,30.5
79,French Polynesia,1800,25.6
80,Gabon,1800,30.6
81,Gambia,1800,28.8
82,Georgia,1800,31.87
83,Germany,1800,38.37
84,Ghana,1800,28.0
86,Greece,1800,36.6
87,Greenland,1800,33.87
88,Grenada,1800,31.4
89,Guadeloupe,1800,27.66
90,Guam,1800,27.5
91,Guatemala,1800,25.8
93,Guinea,1800,29.5
94,Guinea-Bissau,1800,32.0
95,Guyana,1800,31.12
96,Haiti,1800,29.0
98,Honduras,1800,33.9
99,"Hong Kong, China",1800,34.9
100,Hungary,1800,36.0
101,Iceland,1800,42.85
102,India,1800,25.44
103,Indonesia,1800,30.0
104,Iran,1800,25.6
105,Iraq,1800,31.2
106,Ireland,1800,38.3
108,Israel,1800,32.0
109,Italy,1800,29.69
110,Jamaica,1800,34.2
111,Japan,1800,36.4
113,Jordan,1800,31.7
114,Kazakhstan,1800,26.2
115,Kenya,1800,25.5
116,Kiribati,1800,24.9
118,Kuwait,1800,26.0
119,Kyrgyz Republic,1800,23.94
120,Lao,1800,31.9
121,Latvia,1800,33.0
122,Lebanon,1800,29.7
123,Lesotho,1800,32.8
124,Liberia,1800,31.1
125,Libya,1800,33.1
127,Lithuania,1800,28.9
128,Luxembourg,1800,36.9
129,"Macao, China",1800,34.7
130,"Macedonia, FYR",1800,36.1
131,Madagascar,1800,30.5
132,Malawi,1800,30.3
133,Malaysia,1800,30.6
134,Maldives,1800,32.65
135,Mali,1800,26.41
136,Malta,1800,28.7
138,Martinique,1800,30.15
139,Mauritania,1800,32.0
140,Mauritius,1800,28.7
141,Mayotte,1800,32.5
142,Mexico,1800,26.9
143,"Micronesia, Fed. Sts.",1800,26.7
144,Moldova,1800,33.15
146,Mongolia,1800,31.8
147,Montenegro,1800,35.4
149,Morocco,1800,33.1
150,Mozambique,1800,30.28
151,Myanmar,1800,30.8
152,Namibia,1800,32.4
154,Nepal,1800,32.8
155,Netherlands,1800,39.86
156,Netherlands Antilles,1800,34.41
157,New Caledonia,1800,26.0
158,New Zealand,1800,34.05
160,Nicaragua,1800,25.4
161,Niger,1800,30.8
162,Nigeria,1800,30.4
165,North Korea,1800,26.0
169,Norway,1800,37.92
170,Oman,1800,32.3
171,Pakistan,1800,25.8
173,Panama,1800,32.9
