sepal_length,sepal_width,petal_length,petal_width,Species,with_missing
5.1,3.5,1.4,0.2,setosa,-0.25501279752211253
4.9,3,1.4,0.2,setosa,-0.46104298057989457
4.7,3.2,1.3,0.2,setosa,0.119732941297524
4.6,3.1,1.5,0.2,setosa,1.2752859913333892
5,3.6,1.4,0.2,setosa,-0.6033264810909486
5.4,3.9,1.7,0.4,setosa,NA
4.6,3.4,1.4,0.3,setosa,-0.1631736900939406
5,3.4,1.5,0.2,setosa,-1.0244657921369582
4.4,2.9,1.4,0.2,setosa,0.7256669988378996
4.9,3.1,1.5,0.1,setosa,-0.038180046182600506
5.4,3.7,1.5,0.2,setosa,0.2605898914779049
4.8,3.4,1.6,0.2,setosa,2.6108291975753657
4.8,3,1.4,0.1,setosa,-0.22610305892518426
4.3,3,1.1,0.1,setosa,-1.8465987678938556
5.8,4,1.2,0.2,setosa,NA
5.7,4.4,1.5,0.4,setosa,-1.0284967128510352
5.4,3.9,1.3,0.4,setosa,-1.1008114442207728
5.1,3.5,1.4,0.3,setosa,-0.16614106353971062
5.7,3.8,1.7,0.3,setosa,-0.22436518465746141
5.1,3.8,1.5,0.3,setosa,0.7232128601074378
5.4,3.4,1.7,0.2,setosa,0.6971789705566733
5.1,3.7,1.5,0.4,setosa,1.0737551409663575
4.6,3.6,1,0.2,setosa,0.5898757602806103
5.1,3.3,1.7,0.5,setosa,1.1780958487270947
4.8,3.4,1.9,0.2,setosa,1.6382849176270027
5,3,1.6,0.2,setosa,1.3763793965889661
5,3.4,1.6,0.4,setosa,0.0649419550628376
5.2,3.5,1.5,0.2,setosa,0.8704438693206596
5.2,3.4,1.4,0.2,setosa,-1.4859643388500392
4.7,3.2,1.6,0.2,setosa,0.1678828474257458
4.8,3.1,1.6,0.2,setosa,-0.31897486779852224
5.4,3.4,1.5,0.4,setosa,-0.3425048166831049
5.2,4.1,1.5,0.1,setosa,NA
5.5,4.2,1.4,0.2,setosa,-1.6645783101489404
4.9,3.1,1.5,0.2,setosa,-1.1686480470274354
5,3.2,1.2,0.2,setosa,0.3443330779207207
5.5,3.5,1.3,0.2,setosa,NA
4.9,3.6,1.4,0.1,setosa,NA
4.4,3,1.3,0.2,setosa,0.7008826353112387
5.1,3.4,1.5,0.2,setosa,1.0839884835241833
5,3.5,1.3,0.3,setosa,0.37135102712679796
4.5,2.3,1.3,0.3,setosa,0.4110789163635838
4.4,3.2,1.3,0.2,setosa,-1.1071672698733148
5,3.5,1.6,0.6,setosa,-0.074362600451647
5.1,3.8,1.9,0.4,setosa,-1.6948136523467647
4.8,3,1.4,0.3,setosa,NA
5.1,3.8,1.6,0.2,setosa,0.19104949505471652
4.6,3.2,1.4,0.2,setosa,-1.0937742869756095
5.3,3.7,1.5,0.2,setosa,1.3831385649853656
5,3.3,1.4,0.2,setosa,-0.6152044167553355
7,3.2,4.7,1.4,versicolor,0.8631928182496089
6.4,3.2,4.5,1.5,versicolor,-0.518764015191817
6.9,3.1,4.9,1.5,versicolor,-1.0050764378418813
5.5,2.3,4,1.3,versicolor,-0.23215945017404546
6.5,2.8,4.6,1.5,versicolor,NA
5.7,2.8,4.5,1.3,versicolor,-0.9477299747342371
6.3,3.3,4.7,1.6,versicolor,NA
4.9,2.4,3.3,1,versicolor,NA
6.6,2.9,4.6,1.3,versicolor,1.0633554616042342
5.2,2.7,3.9,1.4,versicolor,-0.406885071135496
5,2,3.5,1,versicolor,-0.33017764383416953
5.9,3,4.2,1.5,versicolor,NA
6,2.2,4,1,versicolor,NA
6.1,2.9,4.7,1.4,versicolor,-2.306230302162672
5.6,2.9,3.6,1.3,versicolor,0.44296500782403797
6.7,3.1,4.4,1.4,versicolor,-1.1891246877981474
5.6,3,4.5,1.5,versicolor,-1.0796747260143928
5.8,2.7,4.1,1,versicolor,-2.6045705253821776
6.2,2.2,4.5,1.5,versicolor,-0.2646735494999404
5.6,2.5,3.9,1.1,versicolor,1.1228458764970202
5.9,3.2,4.8,1.8,versicolor,NA
6.1,2.8,4,1.3,versicolor,NA
6.3,2.5,4.9,1.5,versicolor,0.48083993560593347
6.1,2.8,4.7,1.2,versicolor,-0.3584164471085416
6.4,2.9,4.3,1.3,versicolor,2.378865211581649
6.6,3,4.4,1.4,versicolor,1.3677385423170243
6.8,2.8,4.8,1.4,versicolor,-0.6623323687430422
6.7,3,5,1.7,versicolor,0.6394180324137657
6,2.9,4.5,1.5,versicolor,-1.41569460714245
5.7,2.6,3.5,1,versicolor,-0.816346230663904
5.5,2.4,3.8,1.1,versicolor,-0.6125984514906742
5.5,2.4,3.7,1,versicolor,-0.36050971686124905
5.8,2.7,3.9,1.2,versicolor,-1.0746897527085366
