name,from,to,dominion
Elizabeth II,1952-02-06T00:00:00Z,2018-06-07T00:00:00Z,United Kingdom
Victoria,1837-06-20T00:00:00Z,1901-01-22T00:00:00Z,United Kingdom
George V,1910-05-06T00:00:00Z,1936-01-20T00:00:00Z,United Kingdom
George III,1801-01-01T00:00:00Z,1820-01-29T00:00:00Z,United Kingdom
George VI,1936-12-11T00:00:00Z,1952-02-06T00:00:00Z,United Kingdom
George IV,1820-01-29T00:00:00Z,1830-06-26T00:00:00Z,United Kingdom
Edward VII,1901-01-22T00:00:00Z,1910-05-06T00:00:00Z,United Kingdom
William IV,1830-06-26T00:00:00Z,1837-06-20T00:00:00Z,United Kingdom
Edward VIII,1936-01-20T00:00:00Z,1936-12-11T00:00:00Z,United Kingdom
George III(also United Kingdom),1760-10-25T00:00:00Z,1801-01-01T00:00:00Z,Great Britain
George II,1727-06-22T00:00:00Z,1760-10-25T00:00:00Z,Great Britain
George I,1714-08-01T00:00:00Z,1727-06-11T00:00:00Z,Great Britain
Anne,1707-05-01T00:00:00Z,1714-08-01T00:00:00Z,Great Britain
Henry III,NA,1272-11-16T00:00:00Z,England
Edward III,1327-01-25T00:00:00Z,1377-06-21T00:00:00Z,England
Elizabeth I,1558-11-17T00:00:00Z,1603-03-24T00:00:00Z,England
Henry VI,1422-08-31T00:00:00Z,1461-03-04T00:00:00Z,England
Henry VI,1470-10-31T00:00:00Z,1471-04-11T00:00:00Z,England
횈thelred II,0978-03-18T00:00:00Z,1013-12-25T00:00:00Z,England
횈thelred II,1014-02-03T00:00:00Z,1016-04-23T00:00:00Z,England
Henry VIII,1509-04-22T00:00:00Z,1547-01-28T00:00:00Z,England
Charles II,1649-01-30T00:00:00Z,1685-02-06T00:00:00Z,England
Henry I,1100-08-03T00:00:00Z,1135-12-01T00:00:00Z,England
Henry II(co-ruler with Henry the Young King),1154-10-25T00:00:00Z,1189-07-06T00:00:00Z,England
Edward I,1272-11-20T00:00:00Z,1307-07-07T00:00:00Z,England
Alfred the Great,0871-04-24T00:00:00Z,0899-10-26T00:00:00Z,England
Edward the Elder,0899-10-27T00:00:00Z,0924-07-17T00:00:00Z,England
Charles I,1625-03-27T00:00:00Z,1649-01-30T00:00:00Z,England
Henry VII,1485-08-22T00:00:00Z,1509-04-21T00:00:00Z,England
Edward the Confessor,1042-06-08T00:00:00Z,1066-01-05T00:00:00Z,England
Richard II,1377-06-22T00:00:00Z,1399-09-29T00:00:00Z,England
James I,1603-03-24T00:00:00Z,1625-03-27T00:00:00Z,England
Edward IV,1461-03-04T00:00:00Z,1470-10-03T00:00:00Z,England
Edward IV,1471-04-11T00:00:00Z,1483-04-09T00:00:00Z,England
William I,1066-12-12T00:00:00Z,1087-09-09T00:00:00Z,England
Edward II,1307-07-07T00:00:00Z,1327-01-20T00:00:00Z,England
Cnut,1016-11-30T00:00:00Z,1035-11-12T00:00:00Z,England
Stephen,1135-12-22T00:00:00Z,1141-04-07T00:00:00Z,England
Stephen,1141-11-01T00:00:00Z,1154-10-25T00:00:00Z,England
John,1199-04-06T00:00:00Z,1216-10-19T00:00:00Z,England
Edgar I,0959-10-01T00:00:00Z,0975-07-08T00:00:00Z,England
횈thelstan,0924-08-02T00:00:00Z,0939-10-27T00:00:00Z,England
Henry IV,1399-09-29T00:00:00Z,1413-03-20T00:00:00Z,England
William III(co-ruler with Mary II),1689-02-13T00:00:00Z,1702-03-08T00:00:00Z,England
Henry the Young King(co-ruler with Henry II),1170-06-14T00:00:00Z,1183-06-11T00:00:00Z,England
William II,1087-09-09T00:00:00Z,1100-08-02T00:00:00Z,England
Richard I,1189-07-06T00:00:00Z,1199-04-06T00:00:00Z,England
Eadred,0946-05-26T00:00:00Z,0955-11-23T00:00:00Z,England
Henry V,1413-03-21T00:00:00Z,1422-08-31T00:00:00Z,England
Edmund I,0939-10-27T00:00:00Z,0946-05-26T00:00:00Z,England
Edward VI,1547-01-28T00:00:00Z,1553-07-06T00:00:00Z,England
Mary II(co-ruler with William III),1689-02-13T00:00:00Z,1694-12-28T00:00:00Z,England
Mary I,1553-07-19T00:00:00Z,1558-11-17T00:00:00Z,England
Anne(also Kingdom of Great Britain),1702-03-08T00:00:00Z,1707-04-30T00:00:00Z,England
Eadwig,0955-11-23T00:00:00Z,0959-10-01T00:00:00Z,England
