"","custid","ct_dairy","ct_drink","ct_fastfood","ct_fruite","ct_house_prod","ct_makeup","ct_meat","ct_sauce","ct_seafood","ct_snack","ct_vegetable","coverage","g_paid","buyed_prod_num","hf_6-11","hf_12-17","hf_18-23","wdf_Sun","wdf_Mon","wdf_Tue","wdf_Wed","wdf_Thu","wdf_Fri","wdf_Sat","purchase","ct_cov","vdays","day_mean_amt","daycov","top_prod"
"1","C0001",0.39,0.61,0,0,0,0,0,0,0,0,0,0.18,5840,2,0,0,1,0,0,0,1,0,0,0,2,2.28533481296636,1,5840,0,"cheese/butter"
"2","C0002",0.01,0,0.11,0.24,0.05,0,0.56,0,0,0,0.02,0.55,90168,9,0.28,0.72,0,0,0,0.24,0.05,0.71,0,0,7,1.90113639896531,4,22542,0.605678634520922,"koreanbeef"
"3","C0003",0,0.1,0,0,0,0,0.5,0.23,0,0.18,0,0.36,9980,4,0,0,1,0,0,0.5,0,0,0,0.5,4,1.73150728483592,2,4990,0.0113363812615078,"chilledlivestock"
"4","C0004",0.07,0.19,0.15,0.12,0.01,0,0.17,0.05,0.07,0,0.16,0.82,201546,35,0.23,0.77,0,0.16,0.19,0,0.07,0.09,0,0.49,24,0.799674042265745,9,22394,0.46121220593301,"beans"
"5","C0005",0.03,0.02,0.13,0.04,0.36,0,0.29,0.05,0.03,0.03,0.04,0.91,93693,22,0.1,0.48,0.42,0.05,0.43,0.03,0.24,0.15,0.1,0,15,1.3245155125678,15,6246.2,1.26525495993263,"chilledlivestock"
"6","C0006",0,0,1,0,0,0,0,0,0,0,0,0.09,3980,1,1,0,0,0,0,1,0,0,0,0,1,3.3166247903554,1,3980,0,"bottledfoods"
"7","C0008",0.38,0,0.12,0.02,0,0,0,0.08,0.24,0,0.18,0.55,42550,11,0.3,0.7,0,0,0.29,0.44,0.28,0,0,0,9,1.38022909485249,4,10637.5,0.303585407966028,"chilleddairymilks"
"8","C0011",0.61,0.39,0,0,0,0,0,0,0,0,0,0.18,17190,8,0,0,1,0,0.21,0.16,0.18,0.36,0,0.09,2,2.2859927480741,5,3438,0.505114267441633,"fermentedmilk"
"9","C0012",0.07,0.08,0.24,0,0,0,0.41,0.06,0,0.14,0,0.55,53750,17,0,0.13,0.87,0.12,0.16,0.26,0.09,0.26,0.1,0,13,1.4317189036768,9,5972.22222222222,0.641028358505979,"icecream"
"10","C0013",0.74,0,0,0.09,0,0,0,0,0,0,0.17,0.27,10650,6,0.82,0,0.18,0,0,0.65,0.18,0,0.17,0,6,2.44271238421894,3,3550,0.834430673393934,"eggs"
