custid,gender,ct_dairy,ct_drink,ct_fastfood,ct_fruite,ct_house_prod,ct_makeup,ct_meat,ct_sauce,ct_seafood,ct_snack,ct_vegetable,coverage,g_paid,buyed_prod_num,hf_6-11,hf_12-17,hf_18-23,wdf_Sun,wdf_Mon,wdf_Tue,wdf_Wed,wdf_Thu,wdf_Fri,wdf_Sat,purchased,ct_cov,vdays,day_mean_amt,daycov,top_prod
C0001,m,0.39,0.61,0,0,0,0,0,0,0,0,0,0.18,5840,2,0,0,1,0,0,0,1,0,0,0,2,2.285334813,1,5840,0,cheese/butter
C0002,f,0.01,0,0.11,0.24,0.05,0,0.56,0,0,0,0.02,0.55,90168,9,0.28,0.72,0,0,0,0.24,0.05,0.71,0,0,9,1.901136399,4,22542,0.605678635,koreanbeef
C0003,m,0,0.1,0,0,0,0,0.5,0.23,0,0.18,0,0.36,9980,4,0,0,1,0,0,0.5,0,0,0,0.5,4,1.731507285,2,4990,0.011336381,chilledlivestock
C0004,f,0.07,0.19,0.15,0.12,0.01,0,0.17,0.05,0.07,0,0.16,0.82,201546,35,0.23,0.77,0,0.16,0.19,0,0.07,0.09,0,0.49,35,0.799674042,9,22394,0.461212206,beans
C0005,f,0.03,0.02,0.13,0.04,0.36,0,0.29,0.05,0.03,0.03,0.04,0.91,93693,22,0.1,0.48,0.42,0.05,0.43,0.03,0.24,0.15,0.1,0,22,1.324515513,15,6246.2,1.26525496,chilledlivestock
C0006,m,0,0,1,0,0,0,0,0,0,0,0,0.09,3980,1,1,0,0,0,0,1,0,0,0,0,1,3.31662479,1,3980,0,bottledfoods
C0008,m,0.38,0,0.12,0.02,0,0,0,0.08,0.24,0,0.18,0.55,42550,11,0.3,0.7,0,0,0.29,0.44,0.28,0,0,0,11,1.380229095,4,10637.5,0.303585408,chilleddairymilks
C0011,m,0.61,0.39,0,0,0,0,0,0,0,0,0,0.18,17190,8,0,0,1,0,0.21,0.16,0.18,0.36,0,0.09,8,2.285992748,5,3438,0.505114267,fermentedmilk
C0012,f,0.07,0.08,0.24,0,0,0,0.41,0.06,0,0.14,0,0.55,53750,17,0,0.13,0.87,0.12,0.16,0.26,0.09,0.26,0.1,0,17,1.431718904,9,5972.222222,0.641028359,icecream
C0013,f,0.74,0,0,0.09,0,0,0,0,0,0,0.17,0.27,10650,6,0.82,0,0.18,0,0,0.65,0.18,0,0.17,0,6,2.442712384,3,3550,0.834430673,eggs
C0015,m,0,0,0.42,0,0.25,0,0,0,0,0.21,0.11,0.36,46800,6,0,1,0,0,0,0,0,1,0,0,6,1.591198474,1,46800,0,beans
