"","pclass","sex","age","sibsp","parch","fare","embarked","survived"
"1",1,0,29,0,0,211.3375,3,"survived"
"2",1,1,0.92,1,2,151.55,3,"survived"
"3",1,0,2,1,2,151.55,3,"dead"
"4",1,1,30,1,2,151.55,3,"dead"
"5",1,0,25,1,2,151.55,3,"dead"
"6",1,1,48,0,0,26.55,3,"survived"
"7",1,0,63,1,0,77.9583,3,"survived"
"8",1,1,39,0,0,0,3,"dead"
"9",1,0,53,2,0,51.4792,3,"survived"
"10",1,1,71,0,0,49.5042,1,"dead"
"11",1,1,47,1,0,227.525,1,"dead"
"12",1,0,18,1,0,227.525,1,"survived"
"13",1,0,24,0,0,69.3,1,"survived"
"14",1,0,26,0,0,78.85,3,"survived"
"15",1,1,80,0,0,30,3,"survived"
"16",1,1,0,0,0,25.925,3,"dead"
"17",1,1,24,0,1,247.5208,1,"dead"
"18",1,0,50,0,1,247.5208,1,"survived"
"19",1,0,32,0,0,76.2917,1,"survived"
"20",1,1,36,0,0,75.2417,1,"dead"
"21",1,1,37,1,1,52.5542,3,"survived"
"22",1,0,47,1,1,52.5542,3,"survived"
"23",1,1,26,0,0,30,1,"survived"
"24",1,0,42,0,0,227.525,1,"survived"
"25",1,0,29,0,0,221.7792,3,"survived"
"26",1,1,25,0,0,26,1,"dead"
"27",1,1,25,1,0,91.0792,1,"survived"
"28",1,0,19,1,0,91.0792,1,"survived"
"29",1,0,35,0,0,135.6333,3,"survived"
"30",1,1,28,0,0,26.55,3,"survived"
"31",1,1,45,0,0,35.5,3,"dead"
"32",1,1,40,0,0,31,1,"survived"
"33",1,0,30,0,0,164.8667,3,"survived"
"34",1,0,58,0,0,26.55,3,"survived"
"35",1,1,42,0,0,26.55,3,"dead"
"36",1,0,45,0,0,262.375,1,"survived"
"37",1,0,22,0,1,55,3,"survived"
"38",1,1,0,0,0,26.55,3,"survived"
"39",1,1,41,0,0,30.5,3,"dead"
"40",1,1,48,0,0,50.4958,1,"dead"
"41",1,1,0,0,0,39.6,1,"dead"
"42",1,0,44,0,0,27.7208,1,"survived"
