ymd,time,custid,prod,amt
2012-04-01,10:00,C2048,softdrinks,700
2012-04-01,10:00,C2069,fermentedmilk,2990
2012-04-01,10:00,C2069,chilledlivestock,5980
2012-04-01,10:00,C2069,cooky/cakes,3200
2012-04-01,10:00,C2069,mushrooms,1000
2012-04-01,10:00,C0211,bread,5200
2012-04-01,10:00,C0859,laundrydetergent,2000
2012-04-01,11:00,C0819,beans,1950
2012-04-01,11:00,C0819,mushrooms,1000
2012-04-01,11:00,C1321,otherreadymadefoods,2000
2012-04-01,12:00,C1868,chilledagriculturalproducts,2750
2012-04-01,12:00,C1868,eidbleherbs,1000
2012-04-01,12:00,C1681,bottledfoods,2990
2012-04-01,12:00,C1681,koreanpork,9882
2012-04-01,13:00,C1857,milk,6980
2012-04-01,13:00,C1857,chilledseafood,1450
2012-04-01,13:00,C1857,cereals,3600
2012-04-01,13:00,C1857,mushrooms,1000
2012-04-01,13:00,C1857,apple/sweetmelon,8900
2012-04-01,13:00,C0912,othervegetables,8978
2012-04-01,13:00,C2447,fermentedmilk,280
2012-04-01,13:00,C2447,processedlivefish,4500
2012-04-01,13:00,C2447,harddrinks,2200
2012-04-01,13:00,C0890,candy-gum,1650
2012-04-01,13:00,C0890,cooky/cakes,1600
2012-04-01,13:00,C0441,fruitvegetables,1500
2012-04-01,13:00,C0441,rootvegetables,2798
2012-04-01,13:00,C0441,beans,1280
2012-04-01,13:00,C0441,mushrooms,990
2012-04-01,13:00,C0441,eidbleherbs,1000
2012-04-01,13:00,C0441,artificialpowders,1500
2012-04-01,13:00,C0441,banana/importedfruits,2490
2012-04-01,13:00,C2027,ramen,2000
2012-04-01,14:00,C2329,banana/importedfruits,3394
2012-04-01,14:00,C1771,koreanpork,10486
2012-04-01,14:00,C1496,milk,3890
2012-04-01,14:00,C1496,rootvegetables,2990
2012-04-01,14:00,C1496,eidbleherbs,1000
2012-04-01,14:00,C1567,tea,4200
2012-04-01,15:00,C0770,ramen,3190
2012-04-01,15:00,C0845,chilleddairymilks,2800
2012-04-01,15:00,C1540,eidbleherbs,1000
2012-04-01,15:00,C1540,sweeteners,6270
2012-04-01,15:00,C1540,banana/importedfruits,3990
2012-04-01,15:00,C2314,beans,1000
2012-04-01,16:00,C1784,harddrinks,62400
2012-04-01,16:00,C1872,beans,1000
2012-04-01,16:00,C1586,chilledagriculturalproducts,990
2012-04-01,16:00,C1586,chilledseafood,6180
2012-04-01,16:00,C1586,driedfish,1650
2012-04-01,16:00,C1586,koreanbeef,8004
2012-04-01,16:00,C1097,chinesecabbages,1290
2012-04-01,16:00,C0803,softdrinks,2500
2012-04-01,16:00,C1595,softdrinks,5640
2012-04-01,16:00,C0859,chilledlivestock,5980
2012-04-01,16:00,C0859,beans,1000
2012-04-01,16:00,C0859,softdrinks,3500
2012-04-01,16:00,C0859,strawberry/peach/,8990
2012-04-01,16:00,C0859,koreanpork,5821
2012-04-01,16:00,C0345,milk,3060
2012-04-01,16:00,C0345,cheese/butter,10460
2012-04-01,16:00,C0345,eggs,4990
2012-04-01,16:00,C0345,kitchen/housedetergents,4990
2012-04-01,16:00,C0345,tomato/plum/melon,9860
2012-04-01,17:00,C1806,cooky/cakes,9980
2012-04-01,17:00,C1806,pear/kiwi/grape,4000
2012-04-01,17:00,C2212,beans,1000
2012-04-01,17:00,C2212,mushrooms,4000
2012-04-01,17:00,C2115,snacks,1300
2012-04-01,17:00,C1413,lattuce,1590
2012-04-01,17:00,C1413,processeddryfoods,2990
2012-04-01,17:00,C0426,strawberry/peach/,3000
2012-04-01,17:00,C1745,otherlivefish,17600
2012-04-01,17:00,C1745,livefish,8000
2012-04-01,17:00,C1745,fruitvegetables,2350
2012-04-01,17:00,C1745,rootvegetables,2990
2012-04-01,17:00,C1745,chinesecabbages,1000
2012-04-01,17:00,C1745,wildvegetables,1990
2012-04-01,17:00,C1745,mushrooms,3500
2012-04-01,17:00,C1745,eidbleherbs,5066
2012-04-01,17:00,C1745,otherbeverages,40
2012-04-01,17:00,C1745,harddrinks,3110
2012-04-01,17:00,C1745,fruitvegetables,2000
2012-04-01,17:00,C1745,rootvegetables,825
2012-04-01,17:00,C1745,mushrooms,1500
2012-04-01,17:00,C1745,eidbleherbs,1000
2012-04-01,17:00,C1745,artificialpowders,1650
2012-04-01,17:00,C1745,milk,4580
2012-04-01,17:00,C1745,fruitvegetables,850
2012-04-01,17:00,C1745,othervegetables,6885
2012-04-01,17:00,C1745,harddrinks,1030
2012-04-01,17:00,C1745,harddrinks,2760
2012-04-01,17:00,C1745,banana/importedfruits,3560
2012-04-01,17:00,C1125,wildvegetables,2790
2012-04-01,17:00,C1125,banana/importedfruits,2990
2012-04-01,17:00,C1125,laundrydetergent,9900
2012-04-01,17:00,C2281,cooky/cakes,2000
2012-04-01,17:00,C2281,chinesecabbages,2000
2012-04-01,17:00,C2281,beans,1950
2012-04-01,17:00,C2281,wastepapers,10000
2012-04-01,17:00,C0573,chilledagriculturalproducts,2950
2012-04-01,17:00,C0573,softdrinks,1100
2012-04-01,18:00,C0363,cooky/cakes,9480
2012-04-01,18:00,C1679,milk,3780
2012-04-01,18:00,C2415,lattuce,1490
2012-04-01,18:00,C2152,fermentedmilk,2990
2012-04-01,18:00,C1745,fermentedmilk,1150
2012-04-01,18:00,C1745,otherlivefish,17600
2012-04-01,18:00,C1745,fruitvegetables,1500
2012-04-01,18:00,C1745,chinesecabbages,1000
2012-04-01,18:00,C1745,wildvegetables,1990
2012-04-01,18:00,C1745,mushrooms,2000
2012-04-01,18:00,C1745,eidbleherbs,2000
2012-04-01,18:00,C1745,otherbeverages,80
2012-04-01,18:00,C1745,harddrinks,3110
2012-04-01,18:00,C1745,apple/sweetmelon,8900
2012-04-01,18:00,C1847,milk,4380
2012-04-01,18:00,C1847,otherlivefish,10000
2012-04-01,18:00,C1847,beans,2390
2012-04-01,18:00,C1842,cooky/cakes,1600
2012-04-01,18:00,C0430,snacks,2680
2012-04-01,18:00,C1064,otherlivefish,1500
2012-04-01,18:00,C1189,cheese/butter,7800
2012-04-01,18:00,C1189,noodles,4400
2012-04-01,18:00,C1189,softdrinks,4760
2012-04-01,18:00,C1189,bottledfoods,4100
2012-04-01,18:00,C0642,softdrinks,2770
2012-04-01,18:00,C2070,otherbeverages,160
2012-04-01,18:00,C2070,harddrinks,4980
2012-04-01,19:00,C1607,milk,1290
2012-04-01,19:00,C0553,apple/sweetmelon,7990
2012-04-01,19:00,C1467,rootvegetables,903
2012-04-01,19:00,C1467,strawberry/peach/,9900
2012-04-01,19:00,C0431,banana/importedfruits,3150
2012-04-01,19:00,C2448,koreanchicken,5500
2012-04-01,19:00,C0557,cheese/butter,4980
2012-04-01,19:00,C1411,dryfruits,10000
2012-04-01,19:00,C0283,banana/importedfruits,3380
2012-04-01,19:00,C2172,mushrooms,990
2012-04-01,19:00,C2399,minorcereals,28900
2012-04-01,20:00,C0016,othervegetables,3433
2012-04-01,20:00,C0613,otherbeverages,40
