"num"	"date"	"title"	"contents"
"1"	"2017-01-31"	"성소X김종민, `한끼줍쇼` 밥동무 출연.. \"대세들의 만남!\""	"..끼줍쇼’에는 연예대상을 수상한 김종민과 대세 걸그룹으로 우뚝 선 우주소녀의 성소가 밥동무로 출연을 앞두고 ..‘한끼줍쇼’의 녹화에서는 강력한 예능의 기운을 몰고 온 김종민과 성소의 연희동 한 끼 도전기로 네 사람은 첫 만남부터 예사롭지 않았다고 전해졌다."
"2"	"2017-01-31"	"[리뷰] 안중근 의사의 후예, 안재욱의 뮤지컬 ‘영웅’ 출연은 필연이었을까"	"▲ 뮤지컬 ‘영웅(연출 윤호진)’ 공.. 최근 인기 예능 프로그램 MBC ‘무한도전’ 팀과 역사 특집 ..형, 이정열, 리사, 박정아, 정재은, 허민진(크레용팝 초아), 이지민 외.<U+00A0> 관람료: VIP석 13만원, R석 11만원, S석 8만원, A석 6만원<U+00A0>"
"3"	"2017-01-31"	"정준영, 솔로 앨범 '1인칭' 발표…복귀 청신호?"	"가수 정준영이 첫 솔로 정규 앨범을 발표한다. C9 엔터테인먼트 관계자는 정준영 공식 SNS 및 팬카페 등을 통해 오는 7일 0시 정준영의 첫 솔로 정규 앨범.. 앞서 정준영은 약 4개월여의 공백을 딛고 최근 KBS 예능 프로그램 '1박2일'에 복귀했다."
"4"	"2017-01-31"	"정준영 가수로 '컴백'…첫 정규앨범 발표"	"사진/뉴시스 ( <U+00A0> 최근 KBS 2TV 예능 '1박2일'로 연예계 복귀를 알린 가수 정준영(28)이<U+00A0>오는 2월<U+00A0>7일 첫 정규 앨범을 발표한다. 소속사 C9엔터테인먼트는 31일 공식 SNS와 팬카페를 통해 정준영의 첫 정규 앨범 '1인칭'을 오는 7일 .."
"5"	"2017-01-31"	"주먹쥐고 뱃고동- 삼시세끼와 1박2일을 버무린 예능, 정규편성 될까?"	"'자산어보'를 바탕으로 현재의 바다 생태계를 확인한다는 측면에서는 반가웠다.<U+00A0> 예능과 정보 사이; 삼시세끼와 1박2일의 정수 뽑아 새로운 자산어보를 만들겠다 김병만은 특화된 존재다...예능 의 산증인이라고 해도 과언이 아닌 김종민이 참여했다는 것도 흥미롭.."
"6"	"2017-01-31"	"노홍철 ‘무한도전’ 복귀, 그때는 틀렸지만 지금은 맞다!"	"그러나 지금은 그저 평범한 예능인으로 전락하고 말았다. 그에겐 더 이상 신선함이라든지 기존 예능 문법을 파괴하는 발칙한 모습이 보이지 않는다. 식스맨으로 광희가 합류하고 양세형이 새로운 멤버로 자리를 잡아가면서, ..예능프로그램 많은 이들이 에서 노홍철.."
"7"	"2017-01-31"	"'한끼줍쇼' 예능대상 김종민-예능대세 성소, 한 끼 도전!"	"방송: 2월 1일(수) 밤 10시 50분 예능대상과 예능대세가 한 끼에 도전한다.'한끼줍쇼'의 녹화에서는 강력한 예능의 기운을 몰고 온 김종민과 성소의 연희동 한 끼 도전기가 그려졌다...예능대상 김종민과 예능대세 성소의 활약은 오는 2월 1일(수) 밤 .."
"8"	"2017-01-31"	"노홍철 복귀, 지금이 타이밍이다"	"의 개국공신 중 한명인 정형돈이 건강상의 이유로 하차를 결정한 것이다. 식스맨으로 광희가 합류하고, 양세형이 새로운 멤버로 자리를 잡아가면서, ▲ 무한도전> 멤버들 ..무한도전> 많은 이들이 에서 노홍철을 보는 건 이제 어렵겠구나 하고.. 노홍철 무한도전"
"9"	"2017-01-31"	"'한끼줍쇼' 예능 대세 김종민X성소 뭉쳤다"	"..예능 ..'한끼줍쇼'에서 만났다.'한끼줍쇼'(연출 방현영)에는 연예대상을 수상한 김종민과 대세 걸그룹으로 우뚝 선 우주소녀의 성소가 밥동무로 출연한다.'한끼줍쇼'의 녹화에서는 강력한 예능의 기운을 몰고 온 김종민과 성소의 연희동 한 끼 도전기가 그려졌다."
"10"	"2017-01-31"	"'한끼줍쇼' 예능대상 김종민-예능대세 성소, 한 끼 도전!"	"방송: 2월 1일(수) 밤 10시 50분 예능대상과 예능대세가 한 끼에 도전한다.'한끼줍쇼'의 녹화에서는 강력한 예능의 기운을 몰고 온 김종민과 성소의 연희동 한 끼 도전기가 그려졌다...예능대상 김종민과 예능대세 성소의 활약은 오는 2월 1일(수) 밤 .."
"11"	"2017-01-31"	"36.5℃ 김규리의 온도"	"..예능 프로그램 ..끼는 그들의 연약한....아는 게 중요하다.▼ 의외로 작품보다 먼저〈쇼 미 더 머니〉〈복면가왕〉같은 예능 프로그램에서 만날 수 있겠는데? 하하.〈복면가왕〉에서 섭외 전화가 여러 번 왔는데, 내가 나가면 누구라도 금방 눈치챌 거 같아서 거절했다."
"12"	"2017-01-31"	"‘한끼줍쇼’ 성소편, 우연히 벨 누른 집이 걸그룹 아이오아이의 집"	"예능 대세 성소가 한끼줍쇼에 도전한다. 걸그룹 우주소녀 멤버 성소는 2월 1일 밤 10시 50분 방..‘한끼줍쇼’에는 연예대상을 수상한 김종민과 함께 밥동무로 출연한다. 성소는 이경규 강호동 김종민과 함께 서울 연희동를 찾아 한 끼 얻어 먹기에 도전했다."
"13"	"2017-01-31"	"'한끼줍쇼' 예능 대세 김종민X성소 뭉쳤다"	"..예능 ..'한끼줍쇼'에서 만났다.'한끼줍쇼'(연출 방현영)에는 연예대상을 수상한 김종민과 대세 걸그룹으로 우뚝 선 우주소녀의 성소가 밥동무로 출연한다.'한끼줍쇼'의 녹화에서는 강력한 예능의 기운을 몰고 온 김종민과 성소의 연희동 한 끼 도전기가 그려졌다."
"14"	"2017-01-31"	"[차트IS] '무한도전'·'도깨비', 1월 차트 점령한 예능·드라마"	"SN.. 그 중심에는 MBC 예능 '무한도전'과 tvN 드라마 \"'무한도전'과  프로젝트 음원, OST곡 등 다양한 형태로 발매된 방송 음원들이 지니 1월 월간(1-25일) 차트 상위권을 휩쓸었다\"고 분석했다.'무한도전 '무한도전'의 효과를 톡톡히 봤다."
"15"	"2017-01-31"	"[이슈DA:다] 권상우·이상윤·남상미, 톱배우들의 ‘예능 늦바람’"	"..예능프로그램 출연에 오히려 적극적인 ..‘무한도전’ 휴방으로 3주간 특별 편성된 MBC ‘사십춘기’)를 통해 남다른 예능감을 발산하고 있다.‘왜 이제야 예능에 나왔을까’라는 의문을 자아낼 정도다. 그리고 그 방법 중에 하나로 예능을 택했다”고 이야기했다."
